2462.91,17.41,26.90,74.80,8.99,-5.132996,119.497757,2020-08-28 07:15:18.599000,3F0D,end#
2413.09,17.32,26.90,74.10,32.48,-5.131939,119.498070,2020-08-28 07:15:30.678000,3F0D,end#
2339.83,16.85,27.00,74.30,106.03,-5.130947,119.498306,2020-08-28 07:15:41.755000,3F0D,end#
2522.05,22.61,27.00,73.80,2566.08,-5.130394,119.498451,2020-08-28 07:15:47.834000,3F0D,end#
2522.05,22.61,27.20,73.00,5892.18,-5.129332,119.498932,2020-08-28 07:15:59.912000,3F0D,end#
2522.05,24.67,27.40,72.40,1064.84,-5.128557,119.499794,2020-08-28 07:16:11.991000,3F0D,end#
2522.05,21.44,27.50,72.20,1356.88,-5.127878,119.500816,2020-08-28 07:16:25.070000,3F0D,end#
2364.06,19.01,27.90,72.70,37.68,-5.127829,119.500923,2020-08-28 07:16:36.150000,3F0D,end#
1352.35,14.94,27.40,72.70,2449.61,-5.127888,119.500885,2020-08-28 07:16:39.228000,3F0D,end#
3707.48,15.57,30.9,56.5,0,-5.146382,119.470238,2020-08-26 19:10:41.989000,3F0D,end#
2785.08,16.68,31.1,56,0,-5.146342,119.470757,2020-08-26 19:10:52.065000,3F0D,end#
2938.78,16.68,30.9,55.4,588.2,-5.146342,119.470757,2020-08-26 19:10:52.145000,3F0D,end#
3209.45,15.69,30.9,55.6,0,-5.146342,119.470757,2020-08-26 19:10:52.217000,3F0D,end#
3322.99,15.25,30.6,56.1,1765.69,-5.145512,119.47271,2020-08-26 19:11:25.295000,3F0D,end#
3109.88,15.73,30.2,56.2,1696.09,-5.145133,119.473251,2020-08-26 19:11:36.375000,3F0D,end#
2938.78,15.97,30.3,57.2,21135.4,-5.14473,119.473839,2020-08-26 19:11:47.447000,3F0D,end#
3511.12,18.03,30.1,57.8,5968.49,-5.14429,119.474472,2020-08-26 19:11:58.525000,3F0D,end#
3707.48,19.25,30.2,57.6,5605.19,-5.143776,119.475166,2020-08-26 19:12:11.602000,3F0D,end#
3707.48,17.54,30.3,57.5,4876.99,-5.143665,119.475334,2020-08-26 19:12:14.672000,3F0D,end#
3707.48,14.06,30.1,57.9,670.66,-5.143665,119.475334,2020-08-26 19:12:14.743000,3F0D,end#
3707.48,13.32,30.1,57.9,0,-5.142907,119.47644,2020-08-26 19:12:44.824000,3F0D,end#
3707.48,17.85,30.2,58,2747.77,-5.142754,119.476677,2020-08-26 19:12:52.902000,3F0D,end#
3707.48,15.85,30.3,58.1,6554.79,-5.142561,119.476974,2020-08-26 19:13:04.978000,3F0D,end#
3198.27,16.47,30.4,58.2,902.35,-5.142561,119.476974,2020-08-26 19:13:04.058000,3F0D,end#
3198.27,20.8,30.7,57.7,24.69,-5.141977,119.478035,2020-08-26 19:13:26.137000,3F0D,end#
3475.23,20.54,30.7,57.1,588.25,-5.141977,119.478035,2020-08-26 19:13:26.217000,3F0D,end#
3707.48,23.01,31,56.8,6302.04,-5.141725,119.479599,2020-08-26 19:13:48.296000,3F0D,end#
3694.96,17.68,30.9,56.5,48.01,-5.141661,119.4804,2020-08-26 19:14:00.363000,3F0D,end#
3707.48,19.88,30.9,56.8,265.08,-5.141613,119.481201,2020-08-26 19:14:11.435000,3F0D,end#
3707.48,18.63,31,57.1,5284.38,-5.141589,119.481812,2020-08-26 19:14:20.507000,3F0D,end#
