pm10,2020-09-11 00:12:11.151494,2020-09-11 00:12:11.151494,0.0,,,cd14
temperature,2020-09-11 00:12:40.619168,2020-09-11 00:12:40.619168,33.21,,,cd14
humidity,2020-09-11 00:12:40.619168,2020-09-11 00:12:40.619168,49.52,,,cd14
pressure,2020-09-11 00:12:40.619168,2020-09-11 00:12:40.619168,49.52,,,cd14
pm10,2020-09-11 00:12:41.172246,2020-09-11 00:12:41.172246,0.0,,,cd14
pm10,2020-09-11 00:13:11.282399,2020-09-11 00:13:11.282399,0.0,,,cd14
temperature,2020-09-11 00:13:40.775362,2020-09-11 00:13:40.775362,33.2,,,cd14
humidity,2020-09-11 00:13:40.775362,2020-09-11 00:13:40.775362,49.44,,,cd14
pressure,2020-09-11 00:13:40.775362,2020-09-11 00:13:40.775362,49.44,,,cd14
pm10,2020-09-11 00:13:41.299778,2020-09-11 00:13:41.299778,0.0,,,cd14
pm10,2020-09-11 00:14:11.424806,2020-09-11 00:14:11.424806,0.0,,,cd14
temperature,2020-09-11 00:14:40.931085,2020-09-11 00:14:40.931085,33.18,,,cd14
humidity,2020-09-11 00:14:40.931085,2020-09-11 00:14:40.931085,49.48,,,cd14
pressure,2020-09-11 00:14:40.931085,2020-09-11 00:14:40.931085,49.48,,,cd14
pm10,2020-09-11 00:14:41.442127,2020-09-11 00:14:41.442127,0.0,,,cd14
pm10,2020-09-11 00:15:11.458585,2020-09-11 00:15:11.458585,0.0,,,cd14
temperature,2020-09-11 00:15:41.090088,2020-09-11 00:15:41.090088,33.18,,,cd14
humidity,2020-09-11 00:15:41.090088,2020-09-11 00:15:41.090088,49.52,,,cd14
pressure,2020-09-11 00:15:41.090088,2020-09-11 00:15:41.090088,49.52,,,cd14
pm10,2020-09-11 00:15:41.476478,2020-09-11 00:15:41.476478,0.0,,,cd14
pm10,2020-09-11 00:16:11.492449,2020-09-11 00:16:11.492449,0.0,,,cd14
temperature,2020-09-11 00:16:41.250290,2020-09-11 00:16:41.250290,33.2,,,cd14
